sex,age,calyr,risk_score,popn,cases,rate
1,51,1998,3,379072,0,0
1,52,1998,1,304222,1241,407.926
1,52,1998,2,304222,118,38.787
1,52,1998,3,304222,0,0
1,53,1998,1,298487,1274,426.819
1,53,1998,2,298487,102,34.172
1,53,1998,3,298487,0,0
1,54,1998,1,294202,1302,442.553
1,54,1998,2,294202,127,43.168
1,54,1998,3,294202,0,0
1,55,1998,1,280446,1339,477.454
1,55,1998,2,280446,126,44.928
1,55,1998,3,280446,0,0
1,56,1998,1,252646,1403,555.322
1,56,1998,2,252646,126,49.872
1,56,1998,3,252646,0,0
1,57,1998,1,235383,1370,582.03
1,57,1998,2,235383,109,46.308
1,57,1998,3,235383,0,0
1,58,1998,1,246771,1506,610.282
1,58,1998,2,246771,131,53.086
1,58,1998,3,246771,0,0
1,59,1998,1,247866,1599,645.107
1,59,1998,2,247866,166,66.972
1,59,1998,3,247866,1,0.403
1,60,1998,1,245666,1732,705.022
1,60,1998,2,245666,142,57.802
1,60,1998,3,245666,0,0
1,61,1998,1,239725,1796,749.192
1,61,1998,2,239725,155,64.657
1,61,1998,3,239725,1,0.417
1,62,1998,1,231681,1824,787.289
1,62,1998,2,231681,192,82.873
1,62,1998,3,231681,0,0
1,63,1998,1,225029,1902,845.224
1,63,1998,2,225029,191,84.878
1,63,1998,3,225029,1,0.444
1,64,1998,1,215084,1956,909.412
1,64,1998,2,215084,178,82.758
1,64,1998,3,215084,1,0.465
1,65,1998,1,212482,2015,948.316
1,65,1998,2,212482,206,96.949
1,65,1998,3,212482,0,0
1,66,1998,1,213290,2241,1050.682
1,66,1998,2,213290,257,120.493
1,66,1998,3,213290,0,0
